Samples	17may15_004-r001	17may15_004-r002	17may15_005-r001	17may15_005-r002	17may15_006-r001	17may15_006-r002	17may15_007-r001	17may15_007-r002	17may15_008-r001	17may15_008-r002	17may15_009-r001	17may15_009-r002	17may15_010-r001	17may15_010-r002	17may15_011-r001	17may15_011-r002	17may15_012-r001	17may15_012-r002	17may15_013-r001	17may15_013-r002	17may15_014-r001	17may15_014-r002	17may15_015-r001	17may15_015-r002	17may15_016-r001	17may15_016-r002	17may15_017-r001	17may15_017-r002	17may15_018-r001	17may15_018-r002	17may15_019-r001	17may15_019-r002	17may15_020-r001	17may15_020-r002	17may15_021-r001	17may15_021-r002	17may15_022-r001	17may15_022-r002	17may15_023-r001	17may15_023-r002	17may15_024-r001	17may15_024-r002	17may15_025-r001	17may15_025-r002	17may15_026-r001	17may15_026-r002	17may15_027-r001	17may15_027-r002	17may15_028-r001	17may15_028-r002	17may15_029-r001	17may15_029-r002	17may15_030-r001	17may15_030-r002	17may15_031-r001	17may15_031-r002	17may15_032-r001	17may15_032-r002	17may15_033-r001	17may15_033-r002	17may15_034-r001	17may15_034-r002	17may15_035-r001	17may15_035-r002	17may15_036-r001	17may15_036-r002	17may15_037-r001	17may15_037-r002	17may15_038-r001	17may15_038-r002	17may15_039-r001	17may15_039-r002	17may15_040-r001	17may15_040-r002	18may15_004-r001	18may15_004-r002	18may15_005-r001	18may15_005-r002	18may15_006-r001	18may15_006-r002	18may15_007-r001	18may15_007-r002	18may15_008-r001	18may15_008-r002	18may15_009-r001	18may15_009-r002	18may15_010-r001	18may15_010-r002	18may15_011-r001	18may15_011-r002	18may15_012-r001	18may15_012-r002	18may15_013-r001	18may15_013-r002	18may15_014-r001	18may15_014-r002	18may15_015-r001	18may15_015-r002	18may15_016-r001	18may15_016-r002	18may15_017-r001	18may15_017-r002	18may15_018-r001	18may15_018-r002	18may15_019-r001	18may15_019-r002	18may15_020-r001	18may15_020-r002	18may15_021-r001	18may15_021-r002	18may15_022-r001	18may15_022-r002	18may15_023-r001	18may15_023-r002	18may15_024-r001	18may15_024-r002	18may15_025-r001	18may15_025-r002	18may15_026-r001	18may15_026-r002	18may15_027-r001	18may15_027-r002	18may15_028-r001	18may15_028-r002	18may15_029-r001	18may15_029-r002	18may15_030-r001	18may15_030-r002	18may15_031-r001	18may15_031-r002	18may15_032-r001	18may15_032-r002	18may15_033-r001	18may15_033-r002	18may15_034-r001	18may15_034-r002	18may15_035-r001	18may15_035-r002	18may15_038-r001	18may15_038-r002	18may15_039-r001	18may15_039-r002	18may15_040-r001	18may15_040-r002
556.0303@0.7359384	1	4350	1	1	1	1	1	1	1	1	16988	17770	1	1	1	1	1	1	1	1	1	1	12441	15311	1	1	11890	14440	6347	7070	20084	22403	39144	40610	11310	12266	1	6431	12238	11588	33740	34352	31877	28979	1	1	8706	10494	1	1	1	1	1	5295	16412	18022	6275	1	13927	15682	1	1	1	1	28624	27297	1	6287	1	1	1	1	1	1	13883	13777	1	1	13995	11885	1	3964	1	1	8573	7857	1	5636	1	1	9328	9957	4143	1	23595	25135	43550	39225	15848	13952	1	1	1	1	24641	1	1	1	20749	22922	1	1	1	1	12251	12377	31646	33434	10423	9551	38298	37486	1	5649	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5517	1	41600	40637
189.9937@0.73453933	121177	118365	91162	90289	70368	78050	339886	356233	1	255414	49208	50671	137540	149598	111659	111729	67102	73266	126476	131644	237548	249386	255257	244106	351521	366772	270062	265913	331142	347067	236964	243620	116314	114056	168810	169966	62599	54989	62568	57509	162951	163966	170789	227760	199289	262119	468602	500007	288260	216680	210059	205094	101557	94250	82240	96809	80213	75645	300270	252170	275369	393844	366991	497545	134429	139448	259376	415184	174239	136187	299615	293764	233070	245672	124831	128627	354253	321239	340206	326276	126952	132183	190849	183786	233283	274961	78986	81816	75801	75289	370371	374814	279830	293708	307516	252689	145620	140093	425166	470331	116784	118537	139338	147730	564019	62106	129947	129745	234714	259164	166348	158001	163332	160177	363748	342697	113786	105085	382378	498029	256004	244880	240265	228548	1	180546	558268	1	213104	237373	455773	597351	104932	105073	183880	162754	240440	222781	85844	74008	83922	84083	143371	144213
274.0795@0.7338421	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4976	1	1	1	1	1	1	1	1	1	31401	33203	1	1	1	1	1	1	10485	1	1	1	34674	35562	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14280	1	27585	27552	1	15320	21995	21124	1	1	1	1	1	1	1	1	18753	19613	1	1	1	1	1	1	10500	1	1	12284	1	1	14126	13132	1	1	11624	1	1	1	1	1
267.0244@0.7363819	1	4235	1	1	1	1	1	1	1	1	9656	9606	1	1	1	1	1	1	1	1	1	1	9049	8883	1	1	9384	10195	7178	1	14320	13390	28519	24649	1	7436	1	1	7424	6751	23999	27854	26850	26846	1	1	9725	9776	1	1	1	1	1	1	7897	8538	1	1	11197	9343	1	1	1	1	17488	19536	3106	1	1	1	1	1	1	1	8107	6012	1	4230	10571	8689	1	1	1	1	3914	4707	1	1	1	1	6963	5909	1	1	13402	12640	21087	26625	8128	11903	1	1	1	1	24647	1	1	1	14457	14131	1	1	1	1	6614	6848	21112	19564	1	4444	29836	28591	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26024	25208
579.1061@0.7364543	6769	6615	1	1	1	1	1	1	1	1	22548	20867	1	1	1	1	1	1	1	1	1	1	18273	18153	6419	6095	17801	17946	9193	10069	28270	26928	50842	50864	13333	14694	1	7656	13396	13713	44647	46097	42464	43025	1	1	12642	13815	1	1	1	1	7875	6413	18107	18372	6335	6385	21473	20644	1	1	1	1	34996	36252	7701	7066	1	1	1	1	6693	6046	13824	14890	7224	7526	15966	15785	1	1	1	3954	9553	10005	6702	6440	1	1	11138	11343	1	1	30878	28656	45964	48148	19613	19759	1	1	1	1	34462	1	1	1	25057	26876	1	1	1	1	15784	16331	35243	38490	12799	12961	44016	45365	6470	5167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5423	6449	46125	47156
454.0916@0.73685116	26124	25513	1	1	1	1	1	1	1	1	52011	51821	1	1	13744	12702	1	1	1	1	1	1	1	1	20915	18179	1	48518	28879	30193	67671	69786	135302	138877	36794	40478	19230	18028	37700	36168	115748	1	1	129118	6876	6426	43112	48973	11924	12353	4363	1	20967	19546	48751	45964	18270	18606	57829	61956	13432	12739	12135	12337	96375	1	23594	1	12267	13396	10184	9010	16238	17358	37737	37330	21056	20773	48304	48269	10621	10585	8005	9493	26219	26982	14810	17765	1	1	31930	32117	15154	15578	76819	77095	122681	119040	54348	55316	7285	1	1	1	119111	23039	8936	9844	73523	76778	1	1	11295	10388	40758	42409	95807	98267	37302	38541	140879	1	15784	16257	1	1	9468	1	8225	8685	1	1	8276	7376	1	1	1	1	1	1	15750	16367	120817	124247
Ascorbate 2-sulfate	11896	1	1	1	1	1	22011	1	1	1	1	9979	1	1	1	8920	1	1	1	1	1	1	29683	30232	21225	20395	1	15764	13046	1	22055	20709	24446	22307	1	22191	29159	27930	37518	37491	19867	16937	18916	1	23049	22639	39031	39330	36355	41361	28314	29826	28430	26805	17774	1	21915	1	1	17473	19043	17317	1	14601	30237	32816	29238	31924	22812	23723	21958	21121	1	1	11259	1	35500	37953	40732	41852	15809	19394	29539	26328	12169	1	1	18605	27552	30113	43855	45851	47960	48746	17719	16404	20155	17855	21829	1	32031	30652	27267	29510	20485	1	37124	38494	41621	41413	21325	22992	32958	32905	42829	41405	42724	38643	21660	20569	20045	1	15628	13721	22044	23441	1	1	29968	26948	24285	23908	1	10181	50872	51184	41588	42486	20927	18705	18373	19303	1	1
232.0039@0.7454571	9738	10245	57900	59333	7719	1	19890	21130	1	10284	1	1	1	1	1	1	1	1	1	1	46081	49046	10359	9778	7245	7421	1	1	11125	9806	1	1	1	1	1	1	1	1	20053	1	1	1	1	1	612242	606691	182446	184668	220217	238638	1	1	1	1	1	1	1	1	1	1	1	1	14400	13598	1	1	5420	1	57275	61657	40330	43408	27852	29222	1	1	58700	59093	23006	23330	1	14298	25544	28449	13394	14687	1	10250	1	1	1	1	1	1	1	1	1	6467	1	1	1	1	1	1	95792	1	13577	1	8053	8179	29251	27931	43363	43880	7708	7522	1	1	12614	10019	138847	140952	1	1	161490	162952	166774	1	9745	1	16099	14926	1	8630	15719	15119	6125	1	27784	27377	1	6865	1	1
246.0194@0.8187946	1	1	5620	1	27003	28897	1	1	1	1	1	1	5544	5329	10545	11055	8741	1	17970	17753	17528	18430	1	4880	7126	1	31493	33695	12276	10043	1	1	11240	13332	1	7890	1	9297	12777	1	1	1	43110	40860	1	8167	125562	135988	159913	171453	1	5811	22178	25413	1	1	4117	3959	23111	20252	1	1	1	1	1	1	10536	12510	1	1	1	1	1	1	1	1	1	6102	17350	15879	1	1	1	5955	7681	7083	1	1	39383	43585	18417	18917	15635	16591	1	5624	1	1	7878	1	1	5084	16171	16134	5636	1	15114	14404	22062	22269	1	1	1	1	5994	6258	8784	1	7827	9874	1	1	7999	1	62555	62003	116120	9518	1	4917	16908	17735	1	1	4386	12815	1	1	12401	10481	1	1	1	1
201.0637@0.7468	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10950	10781	15380	1	1	13650	1	12313	1	18771	16187	16144	1	1	11316	1	1	1	1	1	6697	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
229.0043@0.74733335	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19837	19017	1	1	2739	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
212.0321@0.7504211	1	1	1	1	1	1	1	1	1	9508	23232	26397	1	1	1	1	1	1	1	1	1	1	1	10792	135309	127940	1	1	1	14598	1	6454	14320	1	1	1	1	1	68850	27670	1	14153	1	10825	1	1	1	1	69385	78132	1	1	1	1	1	1	1	1	1	1	1	1	1	26621	23716	23086	12425	1	1	1	11468	1	1	1	1	1	1	1	1	1	1	30425	1	1	1	1	6250	1	1	1	1	1	1	1	1	1	1	1	27930	89077	1	1	1	1	8667	1	12422	1	118886	111738	8192	1	13249	13985	8817	1	46351	1	5567	1	1	9512	1	24707	1	1	1	1	1	1	12534	1	1	1	22012	1	1	1	1	1	1	1	1	1
194.0213@0.7512	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21779	22931	1	1	1	6025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12902	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
510.3359@0.7557933	6144	1	6171	1	1	1	5334	6324	1	7524	1	1	1	1	1	1	8330	8215	7121	7403	1	1	6490	6568	5791	5536	8841	1	6872	6311	4099	1	31360	31219	20202	21458	9375	10270	10912	10102	7753	7267	8100	6434	11453	11189	12931	13907	11975	12272	4586	4466	1	1	1	1	1	1	1	1	4196	1	5198	5393	8233	9266	7045	1	12315	12028	10607	11379	1	1	1	1	5248	4946	1	1	1	1	5623	1	5596	5908	6573	6104	4993	1	30705	30095	23804	24083	1	1	6275	6086	1	6415	8446	8291	5542	5644	1	1	1	1	6520	7784	8734	7849	8269	8661	28430	27647	35031	33144	1	1	9337	9768	9476	8567	1	1	5809	1	1	1	1	1	1	1	14971	13891	9938	9951	1	1	1	4653	1	4636
230.0609@0.7566317	1	1	43083	41469	1	1	1	1	1	12095	1	1	117370	118366	37059	38114	1	1	17339	17003	22191	21830	1	1	1	1	1	1	1	1	9661	1	51458	51623	31468	32639	1	1	1	1	1	1	1	1	136200	133336	1	1	13738	1	1	12215	120683	116824	1	1	1	1	1	1	1	1	1	1	17537	16995	15579	15385	1	1	1	1	6269	1	44620	43931	13779	1	33323	14795	20814	1	1	1	119595	120909	1	42094	123551	124471	1	1	1	1	1	9261	1	1	1	1	1	14088	93637	99414	1	1	1	1	18378	18825	13013	1	1	1	121867	121415	64630	64077	142435	143164	44378	48412	1	1	17290	17678	100826	1	1	1	1	1	1	1	1	1	1	1	7654	1	1	1	1	1
229.058@0.7594285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6595	5544	1	1	1	1	1	1	1	1	1	1	1	1	1	5524	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10090	10270	8527	7479	12494	11102	10298	12501	1	14647	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7148	1	1	9921	1	1	1	1	1	1	1
383.9936@0.7694352	1	7090	1	1	1	7114	1	8137	1	25398	1	1	6535	7412	1	1	1	1	1	1	1	1	1	8270	12546	1	20183	21288	18773	18594	11108	12548	1	1	14600	13017	1	1	1	11000	16769	16031	19878	21604	1	1	11308	10865	16643	14148	13470	10718	1	1	32136	34191	35192	34762	1	1	1	1	1	1	1	1	1	1	12741	12440	1	1	18562	16726	1	1	14088	16935	30838	29509	18570	20524	25306	23367	15907	15489	8168	8869	1	1	20059	20642	15902	16166	7599	1	15239	14548	21077	20710	17127	17076	26336	25053	1	1	1	1	1	5034	18649	19460	17013	14821	7730	1	7980	1	10346	10379	14074	15006	40658	38018	1	1	1	1	1	1	11548	9863	7864	7300	1	1	18481	22556	35873	34629	26628	25996	16610	16460
873.2142@0.77045345	12674	11551	1	1	5714	1	11059	1	1	10463	8324	8071	1	1	7495	7373	1	5018	6615	6051	1	1	13101	11683	16103	15323	6734	1	1	1	1	1	15422	14809	16644	16377	10989	11063	14727	14864	15532	16839	7142	1	1	1	16889	15779	20359	21136	16469	15934	7095	6600	23032	22308	16874	17342	20609	24041	1	6566	1	1	10038	9905	8297	9031	18232	16533	10341	10626	1	9481	8066	1	10999	12758	13921	13542	1	1	18558	18905	6647	1	14154	14960	8426	8560	1	1	1	1	1	1	13384	15792	1	1	1	1	6006	5417	1	1	1	1	1	7412	14803	14813	1	1	12239	13104	11929	11650	14469	1	17508	16303	15070	16438	9983	10216	13846	1	10204	9244	12123	11564	1	1	10463	11504	19801	19505	10348	10367	15772	16224	7780	7381
407.0693@0.7699615	14589	14268	1	1	13145	13776	16869	18671	1	36488	10643	10177	8647	1	11407	10755	6850	1	1	8539	12846	13012	21530	21581	28771	27018	28229	28850	29764	32212	15040	15804	17196	16566	29311	28688	22062	20714	21295	20648	26491	26209	26266	29226	1	1	31267	28481	37915	37330	27979	27607	1	1	61659	62321	70538	72146	19446	19410	1	10668	10877	10716	15264	13502	16654	18131	34047	34225	20698	17335	25823	26138	9069	8897	22912	22941	55033	57938	15882	16516	34505	33144	19630	19447	22376	23420	12312	1	21932	22103	21418	22622	13133	11051	22842	23501	28601	29427	17615	16220	48713	48500	1	1	16202	15614	13402	12899	34565	31463	23039	23640	21704	19929	16901	15189	22335	21959	34400	32976	87202	79632	77169	83395	68017	1	20370	21254	26621	27329	7705	8214	18487	16172	36615	35799	68336	65186	34017	35673	16862	17982
845.183@0.7706625	13109	13084	1	1	1	4198	9981	10368	1	12153	1	1	1	1	1	1	5547	5246	6166	5098	1	1	1	10703	14467	13747	1	1	10924	11902	1	1	14087	14194	1	10243	12354	13191	1	1	1	6995	1	1	1	1	16069	16790	16964	16191	14661	13395	1	7949	21696	22862	30127	29306	18379	1	6857	7968	8748	8887	7649	1	7494	8423	18634	17903	13414	12386	1	1	1	1	1	1	24477	24917	1	1	1	1	1	1	9962	1	7693	1	1	1	1	1	1	1	1	1	1	1	1	1	24016	21902	6168	6800	10659	10572	8205	7869	1	9934	1	1	11802	13020	9279	8690	8331	1	16710	17157	31477	31147	25609	24665	24580	1	12930	12928	13607	13096	1	1	10562	11203	15936	14931	27117	26930	1	10098	1	1
173.9987@0.7692721	153200	156365	26915	24431	138860	135205	145930	151272	1	445323	75406	78784	76487	79505	87664	85318	66490	66714	88081	90497	111512	110990	171134	166476	228454	227585	366738	364418	629011	592907	127725	137204	166401	170789	286769	297933	176731	180327	157536	149926	230697	232453	338891	342503	59147	59564	310625	334994	435259	473999	253710	245023	90905	89835	730413	721231	1071958	1087100	218283	211510	87096	87658	107169	112277	139057	131513	183324	178582	281576	282255	164454	161760	250605	252325	77895	77899	180088	184977	813220	804977	187682	198659	312455	309567	183884	189370	149144	155508	101734	103056	296472	282440	215847	220429	100458	102427	173309	185075	281673	279324	193427	190900	1348277	1361989	2101722	2127709	185760	174914	129977	127279	391535	390834	231552	233491	195819	204749	131415	139117	176159	177801	306052	315004	1538725	1513388	1694245	1733224	1101661	71056	207019	207582	260267	258786	62156	69938	181091	173796	346145	368374	1395055	1392904	341270	354595	161632	161163
288.8428@0.7704925	94350	92875	1	1	75308	74419	139123	166294	1	115723	127228	124252	134176	134992	202736	187270	64811	64373	1	81374	204069	223439	256553	225919	230084	225457	302677	340608	245982	237895	323763	318949	57894	1	1	1	402683	411403	470486	454034	81787	84447	203500	205051	1	47427	62744	64343	101730	115992	182461	180812	110915	120892	103968	105185	130687	129445	1	1	560661	616354	535016	594350	1	1	1	1	592336	586198	512843	469931	87016	86196	1	1	336923	341516	377767	383002	224250	222319	230354	221213	188721	201961	451593	453390	483165	495699	202645	204199	268585	270645	115026	118201	392750	391084	387721	371164	195259	189574	33794	1	96546	96009	155268	154698	86127	86522	241047	245535	243043	236935	56915	1	53959	53076	284127	280224	244811	242529	23679	26037	93231	85964	119215	1	145567	146427	89725	1	139953	131034	46946	46270	99290	88997	82994	84042	208537	200415	337204	362699
200.8883@0.77074003	139121	131207	1	52584	117711	111673	166173	177100	1	135838	152804	150007	149720	143641	207213	194827	104648	105906	119857	121907	179203	191895	229961	207850	206124	199670	238906	252122	207367	198762	247004	240439	97163	97398	44294	44252	322007	324862	349589	331476	112356	123969	186580	189052	89987	86194	99675	106580	135483	156149	195731	191068	144133	148162	133266	135538	154395	151004	1	16124	405313	450732	410133	436366	27558	31312	1	1	427222	440709	380240	361395	111732	112105	37966	33919	256542	257082	277734	291499	190660	196596	196885	191612	172895	181055	323920	327588	362321	383170	179088	185467	223181	218773	127293	138837	286251	279011	287698	285855	176512	181715	73904	74056	124234	127009	164165	171940	121042	116841	207183	207223	215634	211219	96042	95111	97062	96527	240260	233956	228299	226118	64861	67681	126374	119716	150907	1	161791	164180	117798	126656	157669	146761	88705	82333	122685	119860	104465	111270	175493	179334	247898	252548
230.8679@0.7704721	62756	69994	1	1	50361	48482	85337	105872	1	72629	82244	83831	88222	87595	134788	123514	46207	46726	57345	58825	131788	144374	170227	152289	155906	149952	203273	226627	165138	156910	218796	216351	48914	47091	1	1	282626	291214	329992	312587	60775	64413	138002	142853	1	1	51068	55090	76453	99000	140022	138578	95652	98813	80819	81007	99461	99743	1	1	390607	422354	1	1	1	1	1	1	408484	417302	349702	325593	60615	64366	1	1	226986	227626	250992	258190	153376	148688	157217	156127	130765	139673	302689	313142	1	340029	134869	148733	181792	185485	82178	88670	261748	259599	259161	246306	137189	129457	1	31893	80157	77836	120841	123782	78538	73646	164297	168974	172405	164957	53180	50091	49395	46553	210923	189149	186473	180900	1	29892	80618	80496	99893	1	121608	126081	80741	70937	100140	94907	44442	43152	77536	73558	70078	66812	137389	138562	224447	235740
C7 H2 O5 S5	33730	38797	16345	17798	37408	39142	43853	49783	1	33322	38986	40965	30624	29904	56638	48950	47951	46473	49793	52264	41695	45953	70983	61765	67101	70483	46981	52141	50187	50959	46992	45142	53149	50764	1	1	87826	91639	56022	56392	36451	42794	45153	46927	23426	25280	51993	52302	54296	61407	67411	65681	70343	72448	49346	47618	62353	58044	1	1	66269	69958	81673	86654	1	13043	1	1	66599	69731	84192	79595	34769	32791	1	1	43846	44868	54588	56829	38165	38367	45395	46780	38753	39553	55680	56461	67863	68770	38219	39327	42060	41913	38666	40554	43008	42019	45262	42830	38286	35553	31221	31384	55969	53553	85785	87544	66423	64041	50476	48547	52411	49050	51921	50340	41684	41917	62315	58128	74603	72685	38334	40891	74358	72565	80113	1	75130	82893	57902	62156	37437	35505	48172	48636	51914	49454	53120	55245	43986	45231	38781	43037
1092.2703@0.77374077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5843	5989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4670	5379	1	1	1	1	1	1	1	1	1	1	1	1	1	3563	4034	3657	1	1	1	1	1	1	6090	6652	5487	5338	1	1	1	1	4041	4128	3644	2736	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4234	4640	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3512	1	4495	1	1	1	1	4795	1	5611	1	1	1	3527	1	1	1	1	1	1	1	4454	3651	1	3141	1	1	6176	4904	1	1	1	1	1	1	1	1
817.1514@0.77111757	8280	8551	1	1	1	1	7538	9030	1	1	1	1	1	1	1	1	3893	1	1	1	1	1	1	6821	12202	10962	1	1	1	1	1	1	8669	1	1	1	1	10647	1	1	1	1	1	1	1	1	14030	14930	1	1	1	10724	1	1	11367	14309	20873	21114	10626	1	6847	7238	9037	1	1	1	1	1	16384	16901	13977	12736	1	1	1	1	1	1	13540	13275	1	1	1	1	1	1	1	1	5687	1	1	1	1	1	1	1	1	1	1	1	1	1	14090	14894	1	1	12861	13301	8806	8358	1	1	1	1	1	10409	1	1	1	1	13121	14847	28500	30285	31857	34432	28206	1	15183	14282	12031	11992	1	1	10087	10973	10609	1	24756	25701	1	1	1	1
486.0986@0.77242285	7496	1	1	1	7656	8503	1	11250	1	7372	8165	1	5505	6713	13575	11914	8211	7572	8072	9941	7816	10543	13741	13998	13716	13421	9389	11463	11185	11750	11506	10931	9215	8786	1	1	15856	17253	13918	12089	9129	9740	9675	10734	5530	1	9622	8505	9328	12771	12774	11723	13162	11207	9181	11344	12013	12885	1	1	11789	12039	13624	16062	1	1	1	1	14433	14622	16208	15224	1	8251	1	1	9698	8548	15290	13734	7572	7930	10503	11005	8445	8555	10632	11142	14924	15682	8307	8177	9670	1	7991	9873	1	1	1	10061	1	1	7280	7511	9776	11066	15012	13050	11032	10817	11266	10889	10909	11209	9397	9804	8349	7551	1	13106	14895	14458	6547	6767	12898	13465	13270	1	11741	13213	11004	11744	1	7554	9043	8228	12051	1	11134	11715	9922	9565	8191	8952
979.9851@0.7721497	19140	17466	13419	15594	25943	67705	88280	71867	1	68644	62621	52503	46891	63980	67558	55473	32418	38381	35496	34608	39644	47195	42626	46957	49763	57329	51464	70545	50350	53069	47698	57744	35912	36755	20827	25043	69695	60651	66747	61692	32199	27220	38367	46402	27332	22825	25490	28278	39315	44568	45653	48208	32067	35085	32162	38201	37546	36290	10068	13962	114174	116964	103832	78165	21353	17585	8999	7161	56983	61675	1	55912	34673	33952	23861	25183	65477	68734	69038	62136	59870	60342	55179	57592	47140	46471	77757	70936	78358	80084	48956	49842	46287	43632	44344	41181	62227	68037	58913	78328	46074	46950	30763	27451	32457	33098	41530	46341	35630	34730	49346	39611	47138	51111	31918	42749	37069	36253	66838	62883	57384	60788	29949	33668	41139	42477	50672	1	41335	59772	46839	44548	47408	48683	33042	31926	39436	38772	39196	29454	44530	47110	52816	57185
158.9082@0.7712898	479497	457917	271205	264749	404441	407698	541934	510115	1	385384	378305	378244	385265	374801	445153	457410	347641	358340	336400	321303	395654	400670	451692	444689	417178	404856	428719	404779	353086	354349	424028	425281	245559	262577	121949	117322	561719	533938	564627	571903	214149	212764	310386	318122	161716	151805	255623	264099	296907	309040	429035	408405	319384	315655	284432	290302	312069	313476	71169	63143	814383	775722	738614	678712	95360	105790	48676	47926	720268	740312	638326	634217	205337	200310	76293	74922	432455	435188	493682	479845	281054	286022	312919	316589	272725	271637	540010	552443	637828	631898	282815	285920	344131	365244	238226	227599	474079	481862	441648	458076	281755	279869	167392	165793	269413	275603	382949	381918	284831	292590	378268	361791	368138	356286	234085	244127	203368	218097	389066	393759	400577	423536	175100	163296	288761	303204	319401	1	346791	352003	263926	260646	216965	219548	199417	209377	221083	234417	218413	240446	286721	286993	387231	368170
286.8852@0.7711739	1	1	1	1	1	1	1	2930	1	1	1	1	1	1	3935	1	1	1	1	1	3324	1	1	4018	5480	1	1	1	4866	4253	4280	1	1	4508	1	1	1	7346	1	1	1	4468	1	1	1	1	1	1	1	5968	5706	1	1	1	1	4219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4235	1	1	1	1	1	1	1	1	1	1	5727	4459	5430	1	6298	1	1	1	4794	1	1	1	1	6565	1	1	1	1	1	1	1	1	1	1	1	1	5734	1	1	1	1	1	1	1	1	1	1	1	7160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
242.8684@0.77107376	1	5388	1	1	7092	7382	10944	10710	1	10647	12863	11989	11102	10581	14572	13220	9075	8475	9747	9199	13497	14515	17789	15649	14921	15873	13529	19611	13346	14463	18157	17213	10001	8416	1	1	21672	21212	19127	22004	10524	11638	17583	15584	9159	8032	9634	9620	12100	10905	15615	11799	13835	13827	12697	12161	14736	13782	1	1	19450	1	17762	17963	1	1	1	1	17875	1	19604	1	12294	11040	1	1	16429	16147	14513	16956	14799	15548	15992	14406	13643	14779	20482	20740	15516	18729	14012	15766	16383	15983	13220	12502	18016	17545	19038	18174	14691	12280	1	8095	11780	10542	15049	14128	12768	10456	15361	16460	13968	1	8917	8506	9808	8942	17040	17485	16891	17394	6577	1	12723	11504	11385	1	14602	13381	12617	11029	15276	13123	9553	10056	12007	10861	10068	10174	14776	14152	16102	17946
267.8722@0.77228004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5921	1	1	1	7367	1	1	7568	1	1	7542	1	6514	1	1	1	1	1	1	1	1	10260	1	1	1	1	1	1	1	1	1	1	1	6246	1	8121	1	8977	1	1	6450	1	6333	1	1	1	1	1	1	1	1	1	1	1	1	1	10293	1	1	1	1	1	1	1	6159	1	1	1	1	1	1	1	1	1	8032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11720	1	9902	6856	1	1	1	1	1	1	1	1	1	8387	1	1	1	1	7533	11053	1	1	8423	1	1	1	1	1	5888	1	1	1	8457	5724	6046	1	1
